event_index,log_likelihood,x_ground_est,y_ground_est,energy_est,xmax_est,source_tet_est,source_fi_est,x_ground_true,y_ground_true,energy_true,xmax_true,source_tet_true,source_fi_true,tel_fi
0.0,-1102.5422001289799,490.55657916650307,162.66042077234596,192.70326499137332,412.83166956545756,0.7066454246973112,-0.022038090329228766,485.326,171.931,192.901,409.105,0.695834,-0.0716173,6.18849
1.0,-1094.3923166888644,-150.99608668922622,-341.38592148983264,191.5773744551245,411.39907062716446,0.688569203591801,-0.045516508165464487,-159.734,-333.339,192.901,409.105,0.695834,-0.0716173,6.18849
2.0,-1411.9012252269524,876.899103919016,-173.2108641967583,86.66881970021045,329.0538037595899,0.6781560523810519,-0.11939529783173519,726.07,-160.236,192.901,409.105,0.695834,-0.0716173,6.18849
3.0,-1093.6840738502208,248.65749305824937,-73.07480312000271,31.951665283148206,377.4135916349511,0.5691940465974238,0.7595552963361989,248.136,-67.7066,30.2981,380.335,0.570295,0.772003,7.02794
4.0,-1103.7997691092282,-307.5626724254878,227.4026591121804,126.24485937790138,413.1809160321801,0.5607377191586714,0.3213470529524223,-328.19,221.475,125.481,411.241,0.572811,0.327123,6.58316
5.0,-1165.1244494852654,25.977974414912588,-251.47783983651553,125.3094808164475,409.2313067411031,0.5912484191344094,0.2815982135380821,14.4279,-233.471,125.481,411.241,0.572811,0.327123,6.58316
6.0,-1108.2124235215906,253.1890887530702,233.53543933122359,66.32629333289736,552.7070193777247,0.5605159777304339,0.43670040784541087,226.906,219.562,65.454,552.444,0.531141,0.466453,6.72066
7.0,-1179.0149808899585,1100.4340162341882,-15.117990670437507,38.548562896791104,398.0866383831276,0.5251830741647372,0.43002042935011353,240.824,404.615,65.454,552.444,0.531141,0.466453,6.72066
8.0,-1103.2620983579345,-173.4872325523016,-101.3346647830769,64.04664018751296,551.3259533516443,0.5172789816175923,0.4234438252201116,-182.722,-98.7657,65.454,552.444,0.531141,0.466453,6.72066
9.0,-1142.3671416463044,-178.36763671618638,78.6784678798821,64.62298746495014,554.5845763498819,0.5465608550626414,0.3897820196719586,-158.417,89.376,65.454,552.444,0.531141,0.466453,6.72066
10.0,-1249.1243100371025,454.4352254332775,131.11702198979486,47.25481577742435,445.6373577325854,0.5797410786661616,0.22321580853220802,414.988,93.8218,50.9143,387.587,0.526758,0.297383,6.55138
11.0,-1256.8956602959795,506.59278015989446,721.3227918363173,26.422015877815166,527.4315766541797,0.6836441580788953,0.3624780352744992,-330.118,240.573,50.9143,387.587,0.526758,0.297383,6.55138
12.0,-1233.2982988319704,78.44029040956214,-331.4206306905559,64.37873913837731,417.5187421900809,0.6430909095350992,-0.06641262770809497,93.3192,-321.439,71.6517,420.021,0.57222,-0.0621273,6.19389
13.0,-1880.1907306429364,873.4581458031372,338.56663549248395,69.92575241047308,367.8557072485124,0.5995471076479957,-0.06446467989720617,363.93,-223.752,71.6517,420.021,0.57222,-0.0621273,6.19389
14.0,-1160.4170221643449,317.9349487729282,29.734131263384228,16.126564042094174,373.36059023701347,0.6436000918651155,-0.6223133002851,303.028,17.9093,21.8716,380.734,0.596712,-0.570947,5.68603
15.0,-2402.551427004815,-327.1211223139127,-577.0870810586869,198.95055928441028,330.44995226768964,0.5249931593654505,-0.5534745012879831,-169.444,-95.0479,21.8716,380.734,0.596712,-0.570947,5.68603
16.0,-1454.0282832071653,238.3794376052321,-725.752211638734,188.83740265946045,553.9747246798455,0.530017875061423,-0.21435707400441117,-162.316,-151.19,21.1437,455.599,0.638768,-0.207357,6.05108
17.0,-1202.2612536499755,-0.043403357359970585,8.623273063156109,18.204520286229023,454.905015255375,0.5929810404189141,-0.2516705333941722,29.2022,14.2484,21.1437,455.599,0.638768,-0.207357,6.05108
18.0,-1326.1404397400938,116.7701453149856,-15.237373507423378,109.94356461519419,427.06216552639154,0.5588696830843966,0.4444652543123908,104.6,-12.188,110.345,430.012,0.582076,0.393503,6.64991
19.0,-1326.903738875612,662.8750275642201,351.9640413130837,103.8091407083573,451.40225811644274,0.526630113265767,0.35796713635753363,432.42,200.448,110.345,430.012,0.582076,0.393503,6.64991
20.0,-1114.2597326962707,-142.88239241418577,337.15338296713435,108.27400978445866,430.28091506164554,0.6061402946694954,0.37967301535594977,-146.468,329.617,110.345,430.012,0.582076,0.393503,6.64991
21.0,-1232.1169860009588,603.6909664040309,667.4652510757828,69.04461827551802,366.44701244606756,0.5747378683436466,0.41834304701227865,637.997,-120.838,110.345,430.012,0.582076,0.393503,6.64991
22.0,-1148.0633376878716,777.7375644613759,-175.59395304163027,94.97569829248665,430.79902107555904,0.5315493986704409,0.41713074953381835,608.372,-181.509,110.345,430.012,0.582076,0.393503,6.64991
23.0,-1084.4061885407011,-299.6102952968566,-162.5664903311633,23.71994694838546,359.8088985206191,0.6496332432677209,0.6616719674476883,-284.554,-162.105,24.4568,359.617,0.666828,0.592713,6.852
24.0,-2876.047582246718,136.94548240824506,-463.8353688335302,93.16958931320035,496.495348404649,0.674410618821508,0.5586770622834152,83.2937,-134.25,24.4568,359.617,0.666828,0.592713,6.852
25.0,-1097.671855576226,-116.76106781120481,-247.1605376651443,23.52848653269171,392.55614207202666,0.5665653395045751,-0.49919067507689263,-130.879,-258.015,24.9014,392.06,0.549948,-0.528517,5.72655
26.0,-1091.0843307054986,-292.4126504855659,-20.09321031718258,46.59605260941042,448.68382726966,0.5899592302543705,0.4250928753564356,-293.024,-6.02811,46.33,446.646,0.583625,0.408223,6.66469
27.0,-1084.2671044621245,465.7968896878116,200.4569737852755,46.87875711248153,445.0978596152336,0.564032898719809,0.36548093539573046,428.072,180.016,46.33,446.646,0.583625,0.408223,6.66469
28.0,-1094.8977067609342,595.7119183097911,131.01751853163546,153.4221137711753,489.7588060753165,0.6355117776758089,0.0752146484499221,586.647,113.348,154.762,489.681,0.634476,-0.00388735,6.2544
29.0,-1265.1127417362493,403.9264940493995,-875.435284067667,43.88869839916509,345.5048452429274,0.6679984969224573,-0.4215193380021862,-72.2156,-259.074,24.4459,350.308,0.594024,-0.356547,5.90032
30.0,-1669.0518482502162,-160.83643193429543,-531.1613699824807,52.59089862574878,402.92023658689357,0.6454287083588083,0.3220591880004928,356.531,316.654,78.9541,359.259,0.653759,0.301193,6.5601
31.0,-1096.5595449144228,-12.356161999284623,-282.500756439391,76.59639411332027,358.32953860915353,0.6684888557798908,0.25310942143007154,-14.1057,-281.299,78.9541,359.259,0.653759,0.301193,6.5601
